n_threads;time(s);mPow_size
1;3.06219e-06;4
1;1.16602e-05;4
1;1.131e-05;4
1;1.11312e-05;4
1;1.131e-05;4
2;1.08182e-05;4
2;1.17272e-05;4
2;1.1228e-05;4
2;1.11088e-05;4
2;1.12131e-05;4
4;1.19209e-05;4
4;0.000116713;4
4;1.56686e-05;4
4;1.44616e-05;4
4;1.39177e-05;4
8;1.51247e-05;4
8;1.26138e-05;4
8;1.25542e-05;4
8;1.30832e-05;4
8;1.08555e-05;4
16;1.41487e-05;4
16;1.57431e-05;4
16;1.42455e-05;4
16;1.50949e-05;4
16;1.5229e-05;4
32;1.39326e-05;4
32;1.29566e-05;4
32;1.20699e-05;4
32;1.38059e-05;4
32;1.36271e-05;4
64;2.85134e-05;4
64;2.57865e-05;4
64;2.51681e-05;4
64;2.54065e-05;4
64;2.50414e-05;4
1;1.11684e-05;5
1;1.18986e-05;5
1;1.1526e-05;5
1;3.3848e-05;5
1;3.35649e-05;5
2;0.000166774;5
2;3.31998e-05;5
2;2.39834e-05;5
2;2.6688e-05;5
2;2.55331e-05;5
4;3.59565e-05;5
4;2.76566e-05;5
4;3.85493e-05;5
4;5.02542e-05;5
4;3.84301e-05;5
8;3.25665e-05;5
8;3.47942e-05;5
8;3.29912e-05;5
8;3.55169e-05;5
8;3.45036e-05;5
16;2.61888e-05;5
16;3.83556e-05;5
16;2.55182e-05;5
16;2.69115e-05;5
16;2.79248e-05;5
32;3.03462e-05;5
32;2.91169e-05;5
32;2.64645e-05;5
32;3.29763e-05;5
32;3.05697e-05;5
64;3.34159e-05;5
64;0.000106595;5
64;3.37064e-05;5
64;3.1963e-05;5
64;3.3319e-05;5
1;4.66257e-05;6
1;4.03151e-05;6
1;4.03151e-05;6
1;4.03523e-05;6
1;4.04119e-05;6
2;0.000111885;6
2;5.87776e-05;6
2;5.84126e-05;6
2;6.3248e-05;6
2;6.47828e-05;6
4;9.66936e-05;6
4;0.000100099;6
4;8.80137e-05;6
4;7.83131e-05;6
4;9.6716e-05;6
8;0.000106089;6
8;8.51527e-05;6
8;7.15405e-05;6
8;8.78572e-05;6
8;0.000100754;6
16;6.53341e-05;6
16;6.98343e-05;6
16;7.14883e-05;6
16;8.72612e-05;6
16;8.27014e-05;6
32;5.05373e-05;6
32;5.19976e-05;6
32;6.01038e-05;6
32;6.35237e-05;6
32;5.81369e-05;6
64;5.08577e-05;6
64;6.57067e-05;6
64;6.54384e-05;6
64;6.59302e-05;6
64;6.59302e-05;6
1;0.000156626;7
1;0.000156842;7
1;0.000162929;7
1;0.000156596;7
1;0.000156648;7
2;0.000136428;7
2;0.000142075;7
2;0.000131741;7
2;0.000127524;7
2;0.000275694;7
4;0.000230722;7
4;0.000209048;7
4;0.000173099;7
4;0.000207931;7
4;0.00018397;7
8;0.00017792;7
8;0.000175476;7
8;0.00016553;7
8;0.00014133;7
8;0.000152402;7
16;9.60752e-05;7
16;0.000106722;7
16;0.000114657;7
16;0.000117004;7
16;9.5278e-05;7
32;8.87886e-05;7
32;0.000103272;7
32;9.31844e-05;7
32;9.53004e-05;7
32;9.56655e-05;7
64;8.68142e-05;7
64;9.01073e-05;7
64;9.11579e-05;7
64;9.0383e-05;7
64;8.64342e-05;7
1;0.000515036;8
1;0.00134945;8
1;0.00104686;8
1;0.000845022;8
1;0.00130873;8
2;0.000662796;8
2;0.000708506;8
2;0.000673868;8
2;0.000698321;8
2;0.000708029;8
4;0.000370637;8
4;0.000547484;8
4;0.000539497;8
4;0.000527821;8
4;0.000408784;8
8;0.0002096;8
8;0.000226013;8
8;0.000205867;8
8;0.000196896;8
8;0.00020016;8
16;0.000184163;8
16;0.000175416;8
16;0.00017754;8
16;0.000175394;8
16;0.000168458;8
32;0.00014668;8
32;0.000146158;8
32;0.000144117;8
32;0.000143275;8
32;0.000148378;8
64;0.000124775;8
64;0.000111438;8
64;0.000107542;8
64;0.000109151;8
64;0.000103451;8
1;0.00232195;9
1;0.00231281;9
1;0.00278453;9
1;0.0023818;9
1;0.00269869;9
2;0.00231596;9
2;0.00287237;9
2;0.00289209;9
2;0.0027995;9
2;0.00274435;9
4;0.00147042;9
4;0.0014063;9
4;0.0014373;9
4;0.00143462;9
4;0.00143858;9
8;0.000786789;9
8;0.000739776;9
8;0.000751674;9
8;0.000730202;9
8;0.000753008;9
16;0.000404343;9
16;0.000415757;9
16;0.000404373;9
16;0.00040403;9
16;0.000400618;9
32;0.00038068;9
32;0.0004059;9
32;0.000369258;9
32;0.000355735;9
32;0.000357352;9
64;0.000397004;9
64;0.000367329;9
64;0.000354446;9
64;0.000352196;9
64;0.000351287;9
1;0.00960191;10
1;0.00991987;10
1;0.00960159;10
1;0.00988341;10
1;0.00984481;10
2;0.00900524;10
2;0.0098953;10
2;0.0110518;10
2;0.0111154;10
2;0.0110642;10
4;0.00569326;10
4;0.00534251;10
4;0.00561826;10
4;0.00564037;10
4;0.00563283;10
8;0.00298755;10
8;0.00283585;10
8;0.00287519;10
8;0.00287789;10
8;0.00288019;10
16;0.0015955;10
16;0.00159715;10
16;0.00159032;10
16;0.00159574;10
16;0.00159074;10
32;0.000925317;10
32;0.000914574;10
32;0.000915118;10
32;0.000904873;10
32;0.000897236;10
64;0.000988886;10
64;0.000838481;10
64;0.000842541;10
64;0.000845551;10
64;0.000848867;10
1;0.0558614;11
1;0.0537349;11
1;0.0519544;11
1;0.0510001;11
1;0.0512271;11
2;0.0376494;11
2;0.0418331;11
2;0.0477121;11
2;0.0481873;11
2;0.0478044;11
4;0.024776;11
4;0.0224664;11
4;0.024246;11
4;0.0243499;11
4;0.0242297;11
8;0.0128061;11
8;0.0119354;11
8;0.0122827;11
8;0.0123186;11
8;0.0123224;11
16;0.00663745;11
16;0.00636693;11
16;0.00648297;11
16;0.00649308;11
16;0.00648884;11
32;0.00365758;11
32;0.00351148;11
32;0.00350183;11
32;0.00352299;11
32;0.00351744;11
64;0.00235898;11
64;0.00228364;11
64;0.00228866;11
64;0.00229251;11
64;0.00227617;11
1;0.261393;12
1;0.248773;12
1;0.245642;12
1;0.244304;12
1;0.242391;12
2;0.163396;12
2;0.167169;12
2;0.167456;12
2;0.167702;12
2;0.168348;12
4;0.0855893;12
4;0.0834697;12
4;0.0891185;12
4;0.0900709;12
4;0.0900409;12
8;0.0481782;12
8;0.0438949;12
8;0.0445071;12
8;0.0448538;12
8;0.0450338;12
16;0.0236631;12
16;0.0234094;12
16;0.0435675;12
16;0.0237777;12
16;0.0242396;12
32;0.0133308;12
32;0.0131555;12
32;0.0136357;12
32;0.0133342;12
32;0.0133606;12
64;0.00887969;12
64;0.00916016;12
64;0.0091792;12
64;0.00915398;12
64;0.00912675;12
