n_threads;time(s);mPow_size
1;3.99997e-06;4
1;5.99999e-06;4
1;6.00005e-06;4
1;4.00003e-06;4
1;5.00004e-06;4
2;8.7e-05;4
2;0.002056;4
2;0.00712;4
2;0.000393;4
2;9.1e-05;4
4;5.3e-05;4
4;0.000135;4
4;5.5e-05;4
4;8.8e-05;4
4;7.6e-05;4
8;7.8e-05;4
8;8.7e-05;4
8;8.6e-05;4
8;9.9e-05;4
8;9.8e-05;4
16;0.000245;4
16;0.000164;4
16;0.00019;4
16;0.004747;4
16;0.0007;4
32;0.000577;4
32;0.000311;4
32;0.000363;4
32;0.000284;4
32;0.000288;4
64;0.000478;4
64;0.001044;4
64;0.000742;4
64;0.000507;4
64;0.000639;4
1;1.5e-05;5
1;1.5e-05;5
1;2.4e-05;5
1;1.8e-05;5
1;8e-06;5
2;3e-05;5
2;0.000985;5
2;4.1e-05;5
2;0.000139;5
2;0.000491;5
4;4.4e-05;5
4;8.5e-05;5
4;8.6e-05;5
4;6.3e-05;5
4;0.000403;5
8;0.000145;5
8;0.00013;5
8;0.000142;5
8;0.005482;5
8;0.000472;5
16;0.000189;5
16;0.000783;5
16;0.000186;5
16;0.000183;5
16;0.00016;5
32;0.000336;5
32;0.000374;5
32;0.000414;5
32;0.000369;5
32;0.000354;5
64;0.000651;5
64;0.000759;5
64;0.00068;5
64;0.000447;5
64;0.00077;5
1;2.8e-05;6
1;2.9e-05;6
1;2.9e-05;6
1;2.9e-05;6
1;2.9e-05;6
2;6.5e-05;6
2;5.8e-05;6
2;6.4e-05;6
2;5.3e-05;6
2;9.3e-05;6
4;9.1e-05;6
4;7.5e-05;6
4;5.5e-05;6
4;5.30001e-05;6
4;5.3e-05;6
8;8.5e-05;6
8;8.4e-05;6
8;0.000235;6
8;9.1e-05;6
8;9.2e-05;6
16;0.000125;6
16;0.000549;6
16;0.000201;6
16;0.00018;6
16;0.000148;6
32;0.000245;6
32;0.000294;6
32;0.000267;6
32;0.000353;6
32;0.001009;6
64;0.00048;6
64;0.000598;6
64;0.000497;6
64;0.000989;6
64;0.000716;6
1;0.000111;7
1;0.000111;7
1;0.000112;7
1;0.000111;7
1;0.000112;7
2;0.000129;7
2;8.3e-05;7
2;0.000171;7
2;0.000156;7
2;0.000161;7
4;0.000396;7
4;0.000156;7
4;9.8e-05;7
4;9.9e-05;7
4;9.6e-05;7
8;0.000117;7
8;0.000134;7
8;0.000155;7
8;0.00014;7
8;0.000147;7
16;0.00017;7
16;0.000193;7
16;0.000181;7
16;0.000199;7
16;0.000236;7
32;0.000303;7
32;0.000364;7
32;0.000665;7
32;0.000328;7
32;0.000311;7
64;0.000655;7
64;0.000661;7
64;0.000663;7
64;0.000528;7
64;0.000819;7
1;0.000529;8
1;0.00053;8
1;0.000528;8
1;0.000529;8
1;0.000529;8
2;0.000578;8
2;0.000491;8
2;0.00049;8
2;0.000511;8
2;0.000616;8
4;0.000518;8
4;0.000305;8
4;0.000484;8
4;0.000473;8
4;0.00048;8
8;0.000381;8
8;0.000309;8
8;0.000361;8
8;0.000392;8
8;0.000266;8
16;0.000405;8
16;0.000415;8
16;0.000365;8
16;0.000357;8
16;0.000526;8
32;0.001027;8
32;0.000528;8
32;0.000497;8
32;0.000531;8
32;0.00055;8
64;0.000794;8
64;0.000663;8
64;0.000932;8
64;0.000773;8
64;0.000824;8
1;0.00207;9
1;0.002066;9
1;0.002062;9
1;0.00381;9
1;0.002049;9
2;0.002132;9
2;0.001992;9
2;0.002195;9
2;0.002453;9
2;0.002265;9
4;0.001339;9
4;0.001141;9
4;0.001432;9
4;0.001588;9
4;0.00152;9
8;0.001347;9
8;0.001191;9
8;0.008556;9
8;0.003192;9
8;0.003999;9
16;0.004194;9
16;0.003548;9
16;0.005447;9
16;0.002492;9
16;0.005853;9
32;0.00768;9
32;0.005221;9
32;0.00179;9
32;0.002128;9
32;0.002252;9
64;0.003836;9
64;0.006828;9
64;0.002771;9
64;0.004991;9
64;0.003636;9
1;0.015616;10
1;0.012929;10
1;0.01303;10
1;0.007417;10
1;0.012413;10
2;0.015121;10
2;0.008566;10
2;0.008739;10
2;0.008338;10
2;0.011235;10
4;0.010185;10
4;0.008939;10
4;0.009895;10
4;0.00844;10
4;0.008223;10
8;0.011285;10
8;0.009192;10
8;0.011888;10
8;0.01085;10
8;0.008292;10
16;0.010792;10
16;0.007664;10
16;0.006983;10
16;0.008969;10
16;0.006552;10
32;0.005259;10
32;0.003492;10
32;0.002652;10
32;0.004671;10
32;0.003273;10
64;0.005093;10
64;0.002941;10
64;0.004782;10
64;0.002531;10
64;0.004916;10
1;0.039562;11
1;0.047677;11
1;0.046706;11
1;0.047333;11
1;0.060564;11
2;0.04618;11
2;0.03512;11
2;0.041809;11
2;0.038396;11
2;0.033972;11
4;0.018452;11
4;0.022261;11
4;0.026393;11
4;0.027491;11
4;0.02707;11
8;0.018391;11
8;0.013272;11
8;0.014741;11
8;0.042143;11
8;0.042397;11
16;0.026598;11
16;0.032043;11
16;0.036694;11
16;0.029831;11
16;0.023768;11
32;0.013903;11
32;0.013121;11
32;0.009696;11
32;0.024049;11
32;0.021991;11
64;0.023915;11
64;0.017749;11
64;0.018804;11
64;0.010937;11
64;0.029143;11
1;0.312884;12
1;0.354969;12
1;0.338806;12
1;0.345155;12
1;0.34379;12
2;0.168289;12
2;0.167681;12
2;0.349032;12
2;0.235208;12
2;0.262011;12
4;0.119997;12
4;0.12298;12
4;0.121528;12
4;0.112401;12
4;0.112423;12
8;0.081078;12
8;0.156454;12
8;0.091286;12
8;0.09858;12
8;0.094075;12
16;0.06442;12
16;0.066473;12
16;0.086824;12
16;0.084207;12
16;0.122933;12
32;0.077806;12
32;0.095537;12
32;0.078067;12
32;0.071889;12
32;0.074766;12
64;0.064272;12
64;0.070382;12
64;0.064668;12
64;0.10013;12
64;0.075989;12
